Memory Length,4000,
Trigger Level,-2.800E-01,
Source,CH1,
Probe,10X,
Vertical Units,V,
Vertical Scale,2.000E-01,
Vertical Position,8.800E-02,
Horizontal Units,S,
Horizontal Scale,2.500E-06,
Horizontal Position,1.700E-03,
Horizontal Mode,Main,
Sampling Period,1E-08,
Firmware,V1.23,
Time, 10:41:42,
Mode,Detail,
Waveform Data,
1.680000E-003,4.56E-1,
1.680010E-003,4.56E-1,
1.680020E-003,3.76E-1,
1.680030E-003,3.44E-1,
1.680040E-003,3.04E-1,
1.680050E-003,2.64E-1,
1.680060E-003,2.96E-1,
1.680070E-003,3.12E-1,
1.680080E-003,3.68E-1,
1.680090E-003,4.4E-1,
1.680100E-003,4.8E-1,
1.680110E-003,5.28E-1,
1.680120E-003,5.28E-1,
1.680130E-003,4.96E-1,
1.680140E-003,4.56E-1,
1.680150E-003,3.52E-1,
1.680160E-003,2.56E-1,
1.680170E-003,1.76E-1,
1.680180E-003,6.4E-2,
1.680190E-003,2.4E-2,
1.680200E-003,-3.2E-2,
1.680210E-003,-4.8E-2,
1.680220E-003,-2.4E-2,
1.680230E-003,-3.2E-2,
1.680240E-003,1.6E-2,
1.680250E-003,1.6E-2,
1.680260E-003,0E+0,
1.680270E-003,-1.6E-2,
1.680280E-003,-8E-2,
1.680290E-003,-1.28E-1,
1.680300E-003,-1.92E-1,
1.680310E-003,-2.88E-1,
1.680320E-003,-3.36E-1,
1.680330E-003,-4E-1,
1.680340E-003,-4.4E-1,
1.680350E-003,-4.32E-1,
1.680360E-003,-4.48E-1,
1.680370E-003,-4.16E-1,
1.680380E-003,-3.84E-1,
1.680390E-003,-3.68E-1,
1.680400E-003,-3.28E-1,
1.680410E-003,-3.52E-1,
1.680420E-003,-3.52E-1,
1.680430E-003,-3.68E-1,
1.680440E-003,-4.24E-1,
1.680450E-003,-4.32E-1,
1.680460E-003,-4.72E-1,
1.680470E-003,-4.96E-1,
1.680480E-003,-4.72E-1,
1.680490E-003,-4.72E-1,
1.680500E-003,-4.08E-1,
1.680510E-003,-3.52E-1,
1.680520E-003,-3.12E-1,
1.680530E-003,-2.32E-1,
1.680540E-003,-2E-1,
1.680550E-003,-1.44E-1,
1.680560E-003,-1.2E-1,
1.680570E-003,-1.2E-1,
1.680580E-003,-9.6E-2,
1.680590E-003,-9.6E-2,
1.680600E-003,-8E-2,
1.680610E-003,-3.2E-2,
1.680620E-003,0E+0,
1.680630E-003,1.04E-1,
1.680640E-003,1.92E-1,
1.680650E-003,2.72E-1,
1.680660E-003,3.92E-1,
1.680670E-003,4.48E-1,
1.680680E-003,5.2E-1,
1.680690E-003,5.44E-1,
1.680700E-003,5.28E-1,
1.680710E-003,5.2E-1,
1.680720E-003,4.56E-1,
1.680730E-003,3.92E-1,
1.680740E-003,3.44E-1,
1.680750E-003,2.88E-1,
1.680760E-003,2.88E-1,
1.680770E-003,2.8E-1,
1.680780E-003,3.04E-1,
1.680790E-003,3.76E-1,
1.680800E-003,4.16E-1,
1.680810E-003,4.88E-1,
1.680820E-003,5.2E-1,
1.680830E-003,5.12E-1,
1.680840E-003,5.04E-1,
1.680850E-003,4.4E-1,
1.680860E-003,3.6E-1,
1.680870E-003,2.88E-1,
1.680880E-003,1.68E-1,
1.680890E-003,9.6E-2,
1.680900E-003,2.4E-2,
1.680910E-003,-3.2E-2,
1.680920E-003,-1.6E-2,
1.680930E-003,-3.2E-2,
1.680940E-003,8E-3,
1.680950E-003,2.4E-2,
1.680960E-003,8E-3,
1.680970E-003,2.4E-2,
1.680980E-003,-2.4E-2,
1.680990E-003,-8E-2,
1.681000E-003,-1.2E-1,
1.681010E-003,-2.16E-1,
1.681020E-003,-2.72E-1,
1.681030E-003,-3.36E-1,
1.681040E-003,-4E-1,
1.681050E-003,-4.16E-1,
1.681060E-003,-4.48E-1,
1.681070E-003,-4.32E-1,
1.681080E-003,-4.4E-1,
1.681090E-003,-3.92E-1,
1.681100E-003,-3.68E-1,
1.681110E-003,-3.68E-1,
1.681120E-003,-3.44E-1,
1.681130E-003,-3.68E-1,
1.681140E-003,-4E-1,
1.681150E-003,-4E-1,
1.681160E-003,-4.56E-1,
1.681170E-003,-4.88E-1,
1.681180E-003,-4.64E-1,
1.681190E-003,-4.96E-1,
1.681200E-003,-4.56E-1,
1.681210E-003,-4E-1,
1.681220E-003,-3.84E-1,
1.681230E-003,-2.96E-1,
1.681240E-003,-2.56E-1,
1.681250E-003,-2.16E-1,
1.681260E-003,-1.44E-1,
1.681270E-003,-1.52E-1,
1.681280E-003,-1.12E-1,
1.681290E-003,-1.04E-1,
1.681300E-003,-9.6E-2,
1.681310E-003,-7.2E-2,
1.681320E-003,-4.8E-2,
1.681330E-003,1.6E-2,
1.681340E-003,9.6E-2,
1.681350E-003,1.68E-1,
1.681360E-003,2.72E-1,
1.681370E-003,3.44E-1,
1.681380E-003,4.24E-1,
1.681390E-003,4.96E-1,
1.681400E-003,5.04E-1,
1.681410E-003,5.2E-1,
1.681420E-003,5.04E-1,
1.681430E-003,4.48E-1,
1.681440E-003,4.16E-1,
1.681450E-003,3.44E-1,
1.681460E-003,3.12E-1,
1.681470E-003,2.96E-1,
1.681480E-003,2.8E-1,
1.681490E-003,3.2E-1,
1.681500E-003,3.52E-1,
1.681510E-003,4.08E-1,
1.681520E-003,4.8E-1,
1.681530E-003,4.88E-1,
1.681540E-003,5.2E-1,
1.681550E-003,5.12E-1,
1.681560E-003,4.48E-1,
1.681570E-003,4E-1,
1.681580E-003,2.96E-1,
1.681590E-003,2E-1,
